ProviderName,NHG,CountryCode,LoanType,ValidSince,Period,ProductName,Rate,CoverageEnd,CoverageStart,CheckDate
ING,N,NL,Annuïteitenhypotheek,2017-10-13,6 ,INGAnnuïteitenhypotheek,2.09,85,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,6 ,INGAnnuïteitenhypotheek,2.14,90,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,6 ,INGAnnuïteitenhypotheek,2.19,95,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,6 ,INGAnnuïteitenhypotheek,2.39,101,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,6 ,INGAnnuïteitenhypotheek,3.09,,101,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,7 ,INGAnnuïteitenhypotheek,2.07,80,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,7 ,INGAnnuïteitenhypotheek,2.12,85,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,7 ,INGAnnuïteitenhypotheek,2.17,90,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,7 ,INGAnnuïteitenhypotheek,2.22,95,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,7 ,INGAnnuïteitenhypotheek,2.42,101,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,7 ,INGAnnuïteitenhypotheek,3.12,,101,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,10 ,INGAnnuïteitenhypotheek,2.19,80,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,10 ,INGAnnuïteitenhypotheek,2.24,85,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,10 ,INGAnnuïteitenhypotheek,2.29,90,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,10 ,INGAnnuïteitenhypotheek,2.34,95,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,10 ,INGAnnuïteitenhypotheek,2.54,101,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,10 ,INGAnnuïteitenhypotheek,3.24,,101,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,12 ,INGAnnuïteitenhypotheek,2.8,80,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,12 ,INGAnnuïteitenhypotheek,2.85,85,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,12 ,INGAnnuïteitenhypotheek,2.9,90,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,12 ,INGAnnuïteitenhypotheek,2.95,95,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,12 ,INGAnnuïteitenhypotheek,3.15,101,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,12 ,INGAnnuïteitenhypotheek,3.85,,101,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,2.85,80,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,2.9,85,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,2.95,90,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,3.0,95,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,3.2,101,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,3.9,,101,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,20 ,INGAnnuïteitenhypotheek,2.95,80,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,20 ,INGAnnuïteitenhypotheek,3.0,85,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,20 ,INGAnnuïteitenhypotheek,3.05,90,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,20 ,INGAnnuïteitenhypotheek,3.1,95,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,20 ,INGAnnuïteitenhypotheek,3.3,101,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,20 ,INGAnnuïteitenhypotheek,4.0,,101,2017-10-22
ING,Y,NL,Lineaire hypotheek,2017-10-13,1 ,INGLineaire hypotheek,1.69,,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,1 ,INGLineaire hypotheek,1.64,55,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,1 ,INGLineaire hypotheek,1.69,60,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,1 ,INGLineaire hypotheek,1.74,65,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,1 ,INGLineaire hypotheek,1.79,70,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,1 ,INGLineaire hypotheek,1.84,75,,2017-10-22
ING,Y,NL,Lineaire hypotheek,2017-10-13,2 ,INGLineaire hypotheek,1.72,,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,2 ,INGLineaire hypotheek,1.67,55,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,2 ,INGLineaire hypotheek,1.72,60,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,2 ,INGLineaire hypotheek,1.77,65,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,2 ,INGLineaire hypotheek,1.82,70,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,2 ,INGLineaire hypotheek,1.87,75,,2017-10-22
ING,Y,NL,Lineaire hypotheek,2017-10-13,3 ,INGLineaire hypotheek,1.74,,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,3 ,INGLineaire hypotheek,1.69,55,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,3 ,INGLineaire hypotheek,1.74,60,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,3 ,INGLineaire hypotheek,1.79,65,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,3 ,INGLineaire hypotheek,1.84,70,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,3 ,INGLineaire hypotheek,1.89,75,,2017-10-22
ING,Y,NL,Lineaire hypotheek,2017-10-13,5 ,INGLineaire hypotheek,1.8,,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,5 ,INGLineaire hypotheek,1.75,55,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,5 ,INGLineaire hypotheek,1.8,60,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,5 ,INGLineaire hypotheek,1.85,65,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,5 ,INGLineaire hypotheek,1.9,70,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,5 ,INGLineaire hypotheek,1.95,75,,2017-10-22
ING,Y,NL,Lineaire hypotheek,2017-10-13,6 ,INGLineaire hypotheek,1.84,,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,6 ,INGLineaire hypotheek,1.79,55,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,6 ,INGLineaire hypotheek,1.84,60,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,6 ,INGLineaire hypotheek,1.89,65,,2017-10-22
